pair,acronym,description,frequency_all_disciplines
"('A.R.J', 'artritis reumatoidea juvenil')",A.R.J,artritis reumatoidea juvenil,1
"('TDAH–', 'tdah (8-13 años) divididos en dos grupos segun la presencia')",TDAH–,tdah (8-13 años) divididos en dos grupos segun la presencia,1
"('LCFA', 'limitación crónica al flujo aéreo')",LCFA,limitación crónica al flujo aéreo,2
"('PC', 'parada cardiaca')",PC,parada cardiaca,3
"('CIE-10', 'clasificacion internacional de enfermedades, 10.ª revision')",CIE-10,"clasificacion internacional de enfermedades, 10.ª revision",4
"('EAA', 'esteroides anabolizantes androgénicos')",EAA,esteroides anabolizantes androgénicos,1
"('CV', 'calidad de vida')",CV,calidad de vida,7
"('CPQ-A', 'cannabis problems questionnaire')",CPQ-A,cannabis problems questionnaire,1
"('GEMI', 'grupo de estudios multicéntrico de infarto')",GEMI,grupo de estudios multicéntrico de infarto,4
"('PVIH/sida', 'personas con vih/sida')",PVIH/sida,personas con vih/sida,2
"('FAP', 'fibrilacion auricular paroxistica')",FAP,fibrilacion auricular paroxistica,4
"('Fontana', 'forma de ""y"" usando sutura mecánica no reabsorbible')",Fontana,"forma de ""y"" usando sutura mecánica no reabsorbible",4
"('pertofrana', 'parkinsonianos con dos derivados del iminodibencilo: imipramina (tofranil) y desipramina')",pertofrana,parkinsonianos con dos derivados del iminodibencilo: imipramina (tofranil) y desipramina,2
"('HMB', 'hidroxi-β-metilbutirato')",HMB,hidroxi-β-metilbutirato,1
"('CIE', 'classificación internacional de enfermedades')",CIE,classificación internacional de enfermedades,2
"('SWB', 'síndrome williams-beuren')",SWB,síndrome williams-beuren,6
"('UNO', 'unidad de neurooftalmologia')",UNO,unidad de neurooftalmologia,4
"('MBE', 'medicina basada en evidencia')",MBE,medicina basada en evidencia,2
"('GPSIDA', 'grupos de prevención del sida')",GPSIDA,grupos de prevención del sida,6
"('HEK', 'hemangioendotelioma kaposiforme')",HEK,hemangioendotelioma kaposiforme,1
"('PC', 'pectus carinatum')",PC,pectus carinatum,2
"('E.T.S.', 'enfermedades de transmisión sexual')",E.T.S.,enfermedades de transmisión sexual,3
"('CSP', 'cultura de seguridad del paciente')",CSP,cultura de seguridad del paciente,2
"('2-AT', '2-amino-tiazolina-hcl')",2-AT,2-amino-tiazolina-hcl,1
"('RCP', 'reanimación cardiopulmonar pediátrica')",RCP,reanimación cardiopulmonar pediátrica,3
"('SEC', 'sociedad española de cardiología')",SEC,sociedad española de cardiología,8
"('TC6M', 'test de caminata de 6 minutos')",TC6M,test de caminata de 6 minutos,3
"('GEMPPZ, AP', 'grupo de estudio de la morbilidad psíquica y psicosomática de zaragoza, sección de atención primaria')","GEMPPZ, AP","grupo de estudio de la morbilidad psíquica y psicosomática de zaragoza, sección de atención primaria",4
"('MDR', 'multidroga')",MDR,multidroga,1
"('EEP', 'escala de estrés percibido')",EEP,escala de estrés percibido,1
"('LA/RC', 'longitud axial/radio corneal')",LA/RC,longitud axial/radio corneal,2
"('pH1N1', 'por virus influenza a h1n1')",pH1N1,por virus influenza a h1n1,3
"('UEGW', 'united european gastroenterology week')",UEGW,united european gastroenterology week,1
"('Spain-RDR', 'se consolidó la red española de registros de enfermedades raras para la investigación')",Spain-RDR,se consolidó la red española de registros de enfermedades raras para la investigación,4
"('UCI', 'unidades de cuidados intensivos')",UCI,unidades de cuidados intensivos,7
"('TSA', 'transfusión de sangre alogénica')",TSA,transfusión de sangre alogénica,2
"('BT', 'bilirrubina total')",BT,bilirrubina total,4
"('Cis-Pt', 'cis-platino')",Cis-Pt,cis-platino,4
"('LLA', 'linfoblástica aguda')",LLA,linfoblástica aguda,19
"('y II', 'y aurotiomalato sódico: una revisión comparada')",y II,y aurotiomalato sódico: una revisión comparada,4
"('PAC', 'pseudoobstrucción aguda del colon')",PAC,pseudoobstrucción aguda del colon,1
"('RCIU', 'restricción del crecimiento intrauterino')",RCIU,restricción del crecimiento intrauterino,5
"('ET', 'esclerosis tuberosa')",ET,esclerosis tuberosa,8
"('SM', 'salud mental')",SM,salud mental,3
"('SNSAF', 'spain: nutrition survey of the armed forces')",SNSAF,spain: nutrition survey of the armed forces,2
"('TDC', 'tornillo dinámico condíleo')",TDC,tornillo dinámico condíleo,3
"('CPV_2011', 'censo de población y viviendas de 2011')",CPV_2011,censo de población y viviendas de 2011,3
"('AVK', 'antivitamina k')",AVK,antivitamina k,4
"('GESITRA', 'grupo de estudio de la infección en el trasplante')",GESITRA,grupo de estudio de la infección en el trasplante,1
"('SGB', 'síndrome de guillain-barré')",SGB,síndrome de guillain-barré,10
"('OR', 'odds ratio')",OR,odds ratio,51
"('GEDEAS', 'grupo español de dermatología en las enfermedades autoinmunes y sistémicas')",GEDEAS,grupo español de dermatología en las enfermedades autoinmunes y sistémicas,1
"('PANDA', 'programa nacional de drogas antineoplásicas')",PANDA,programa nacional de drogas antineoplásicas,6
"('HGCH', 'hormona gonadotropina coriónica humana')",HGCH,hormona gonadotropina coriónica humana,2
"('ADVP', 'a drogas por vía parenteral')",ADVP,a drogas por vía parenteral,8
"('iPCSK9', 'inhibidores de la proprotein convertase subtilisin/kexin-9')",iPCSK9,inhibidores de la proprotein convertase subtilisin/kexin-9,3
"('E. coli', 'escherichia coli')",E. coli,escherichia coli,2
"('EDO', 'enfermedades de declaración obligatoria')",EDO,enfermedades de declaración obligatoria,12
"('ANCA', 'anticitoplasmáticos de neutrófilos')",ANCA,anticitoplasmáticos de neutrófilos,1
"('JWC', 'journal of wound care')",JWC,journal of wound care,1
"('DEH', 'de estancia hospitalaria')",DEH,de estancia hospitalaria,3
"('PPAC', 'paciente pediátrico con ascitis secundaria a cirrosis')",PPAC,paciente pediátrico con ascitis secundaria a cirrosis,2
"('MPMN', 'modelo de predicción de mortalidad de navarra')",MPMN,modelo de predicción de mortalidad de navarra,4
"('RAQoL', 'rheumatoid arthritis quality of life scale')",RAQoL,rheumatoid arthritis quality of life scale,3
"('TTC', 'tetrazolium cloruro')",TTC,tetrazolium cloruro,1
"('VPM', 'volumen plaquetario medio')",VPM,volumen plaquetario medio,9
"('ECCA', 'ensayos clínicos controlados aleatorizados')",ECCA,ensayos clínicos controlados aleatorizados,1
"('PgE2', 'prostaglandina e2')",PgE2,prostaglandina e2,3
"('EHGNA', 'enfermedad de higado graso no alcohólico')",EHGNA,enfermedad de higado graso no alcohólico,2
"('CDT', 'carbohidratos')",CDT,carbohidratos,3
"('E.A.E.', 'encefalomielítis alérgica experimental')",E.A.E.,encefalomielítis alérgica experimental,2
"('SF-LDQOL', 'short form-liver disease quality of life')",SF-LDQOL,short form-liver disease quality of life,2
"('MMSE', 'mini-mental state examination')",MMSE,mini-mental state examination,4
"('LCAT', 'lecitina:colesterol aciltransferasa')",LCAT,lecitina:colesterol aciltransferasa,2
"('EPA', 'eicosapentaenoico')",EPA,eicosapentaenoico,2
"('ENSA', 'encuesta nacional de salud')",ENSA,encuesta nacional de salud,11
"('A/EEG', 'ambulatoria del eeg')",A/EEG,ambulatoria del eeg,1
"('RVU', 'reflujo vesicoureteral')",RVU,reflujo vesicoureteral,23
"('FMMR', 'fiebre manchada de las montañas rocosas')",FMMR,fiebre manchada de las montañas rocosas,2
"('TURis', 'transuretral de la próstata en solución salina')",TURis,transuretral de la próstata en solución salina,4
"('RG', 'recesión gingival')",RG,recesión gingival,2
"('CABA', 'ciudad autónoma de buenos aires')",CABA,ciudad autónoma de buenos aires,4
"('Ag-VIH', 'antígeno(s) del virus de la inmunodeficiencia humana')",Ag-VIH,antígeno(s) del virus de la inmunodeficiencia humana,1
"('CIE 10', 'clasificación internacional de enfermedades 10ª revisión')",CIE 10,clasificación internacional de enfermedades 10ª revisión,1
"('LNH', 'linfomas no hodgkinianos')",LNH,linfomas no hodgkinianos,5
"('SNE', 'soporte nutricional especializado')",SNE,soporte nutricional especializado,7
"('EPIC', 'europeo sobre dieta y cáncer')",EPIC,europeo sobre dieta y cáncer,3
"('PR', 'prueba rápida')",PR,prueba rápida,7
"('EDAH', 'evaluación del trastorno por déficit de atención/hiperactividad')",EDAH,evaluación del trastorno por déficit de atención/hiperactividad,2
"('MT', 'microlitiasis testicular')",MT,microlitiasis testicular,6
"('SGB', 'sindrome de guillain-barre')",SGB,sindrome de guillain-barre,4
"('API', 'arteria pudenda interna')",API,arteria pudenda interna,3
"('BMNB', 'bocio multinodular beningo')",BMNB,bocio multinodular beningo,4
"('PHCT', 'porfiria hepatocutánea tarda')",PHCT,porfiria hepatocutánea tarda,1
"('UCE', 'unidades de corta estancia')",UCE,unidades de corta estancia,3
"('AKE', 'acrokeratoelastoidosis')",AKE,acrokeratoelastoidosis,3
"('LDX', 'lisdexanfetamina dimesilato')",LDX,lisdexanfetamina dimesilato,2
"('SN', 'síndrome nefrótico')",SN,síndrome nefrótico,5
"('PBI', 'parental bonding instrument')",PBI,parental bonding instrument,2
"('TC', 'tomografia computarizada')",TC,tomografia computarizada,8
"('MALT', 'münchner alkoholismus test')",MALT,münchner alkoholismus test,1
"('SS', 'síndrome de sjögren')",SS,síndrome de sjögren,7
"('NAS', 'nursing activity score')",NAS,nursing activity score,2
"('SAMR-ac', 'staphylococcus aureus meticilino resistente adquirido en la comunidad')",SAMR-ac,staphylococcus aureus meticilino resistente adquirido en la comunidad,2
"('TQ', 'tiempo quirúrgico')",TQ,tiempo quirúrgico,5
"('GCNE', 'grupo control no equivalente')",GCNE,grupo control no equivalente,4
"('EU', 'estudiantes universitarios')",EU,estudiantes universitarios,1
"('y IV', 'y actividad física en personas sanas')",y IV,y actividad física en personas sanas,1
"('Ensanut MC', 'encuesta nacional de salud y nutrición medio camino')",Ensanut MC,encuesta nacional de salud y nutrición medio camino,1
"('PCR', 'parotiditis crónica recidivante en niños')",PCR,parotiditis crónica recidivante en niños,2
"('DAP IV', 'dipeptidilaminopeptidasa iv')",DAP IV,dipeptidilaminopeptidasa iv,2
"('BAC', 'bacteriemia asociada al catéter')",BAC,bacteriemia asociada al catéter,3
"('DEA', 'desfibrilador externo automatizado')",DEA,desfibrilador externo automatizado,1
"('FSM', 'función sexual de la mujer')",FSM,función sexual de la mujer,2
"('AMPA', 'automedida de la presión arterial')",AMPA,automedida de la presión arterial,6
"('EKI', 'enfermedad de kawasaki incompleta')",EKI,enfermedad de kawasaki incompleta,4
"('TaDiCS ®', 'tablero dinamico de cubos y signos')",TaDiCS ®,tablero dinamico de cubos y signos,3
"('GVL', 'gastrectomía vertical laparoscópica')",GVL,gastrectomía vertical laparoscópica,3
"('EA', 'en adolescentes')",EA,en adolescentes,2
"('CELADE', 'centro latinoamericano de demografia')",CELADE,centro latinoamericano de demografia,1
"('VHS', 'virus del herpes simple')",VHS,virus del herpes simple,4
"('CES-D', 'centro de estudios epidemiologicos')",CES-D,centro de estudios epidemiologicos,2
"('ESCID', 'escala de conductas indicadoras de dolor')",ESCID,escala de conductas indicadoras de dolor,8
"('IMCr', 'imc real')",IMCr,imc real,1
"('TFC', 'tiofencarboxilato sódico')",TFC,tiofencarboxilato sódico,1
"('IRB-RAT', 'institutional review board researcher assessment tool')",IRB-RAT,institutional review board researcher assessment tool,1
"('MLPA', 'múltiples sondas')",MLPA,múltiples sondas,3
"('FP-CIT', 'fluoropropil-2ßcarbometoxi-3ß-(4-iodofenil) nortropano')",FP-CIT,fluoropropil-2ßcarbometoxi-3ß-(4-iodofenil) nortropano,4
"('VACTE', 'valoración de cargas de trabajo y tiempos de enfermería')",VACTE,valoración de cargas de trabajo y tiempos de enfermería,2
"('CT', 'computarizada')",CT,computarizada,4
"('IM', 'intoxicaciones medicamentosas')",IM,intoxicaciones medicamentosas,1
"('ReMeFa', 'registro mexicano de fibrilación auricular')",ReMeFa,registro mexicano de fibrilación auricular,1
"('DIPI', 'directa intraperitoneal')",DIPI,directa intraperitoneal,4
"('TC', 'tomografía computada')",TC,tomografía computada,14
"('UCMA-CE', 'unidad de cirugía mayor ambulatoria y de corta estancia')",UCMA-CE,unidad de cirugía mayor ambulatoria y de corta estancia,3
"('CCP', 'concentrados de complejo protrombínico')",CCP,concentrados de complejo protrombínico,3
"('HM', 'higiene de manos')",HM,higiene de manos,2
"('BSFI', 'brief sexual function inventory')",BSFI,brief sexual function inventory,1
"('MIA', 'movimientos involuntarios anormales')",MIA,movimientos involuntarios anormales,1
"('FRC', 'factores de riesgo coronario')",FRC,factores de riesgo coronario,4
"('AP', 'anteroposterior')",AP,anteroposterior,1
"('SDR', 'síndrome de distrés respiratorio')",SDR,síndrome de distrés respiratorio,5
"('HCF', 'historia clínica familiar')",HCF,historia clínica familiar,2
"('OCD', 'oxigenoterapia continuada domiciliaria')",OCD,oxigenoterapia continuada domiciliaria,1
"('MTHFR', 'metilentetrahidrofolato reductasa')",MTHFR,metilentetrahidrofolato reductasa,8
"('TH', 'traumatismos hepáticos')",TH,traumatismos hepáticos,3
"('NAAG', 'n-acetil-aspartil-glutamato')",NAAG,n-acetil-aspartil-glutamato,1
"('LDL', 'ligado a lipoproteínas de baja densidad')",LDL,ligado a lipoproteínas de baja densidad,1
"('ASI-6', 'addiction severity index-6')",ASI-6,addiction severity index-6,3
"('PCT', 'parada cardiaca traumática')",PCT,parada cardiaca traumática,4
"('CS', 'caseínas')",CS,caseínas,1
"('OSAS', 'obstructiva del sueño')",OSAS,obstructiva del sueño,3
"('PNET', 'primitivo neuroectodérmico')",PNET,primitivo neuroectodérmico,1
"('FRC', 'fatiga relacionada con el cáncer')",FRC,fatiga relacionada con el cáncer,3
"('LLA', 'leucemia linfocítica aguda')",LLA,leucemia linfocítica aguda,2
"('IC 95%', 'intervalos de confianza del 95%')",IC 95%,intervalos de confianza del 95%,1
"('GI', 'grupo intervención')",GI,grupo intervención,4
"('EMS', 'epilepsia mioclónica severa de la infancia')",EMS,epilepsia mioclónica severa de la infancia,2
"('DE', 'de 63')",DE,de 63,5
"('IC', 'intervalos de confianza')",IC,intervalos de confianza,27
"('LCE', 'lesiones de causa externa')",LCE,lesiones de causa externa,4
"('SEE', 'sociedad española de epidemiología')",SEE,sociedad española de epidemiología,2
"('ATCC', 'angiotomografía computarizada coronaria')",ATCC,angiotomografía computarizada coronaria,1
"('ELA', 'esclerosis lateral amiotrofica')",ELA,esclerosis lateral amiotrofica,5
"('IMCEST', 'infarto agudo de miocardio con elevación del segmento st')",IMCEST,infarto agudo de miocardio con elevación del segmento st,5
"('Mn-SOD', 'mn-superóxido dismutasa')",Mn-SOD,mn-superóxido dismutasa,1
"('SPSS', 'statistical package for the social sciences')",SPSS,statistical package for the social sciences,2
"('BNS', 'beneficio neto sanitario')",BNS,beneficio neto sanitario,3
"('PCRE', 'pancreatocolangiografía retrograda endoscópica')",PCRE,pancreatocolangiografía retrograda endoscópica,4
"('SNI', 'síndrome nefrótico idiopático')",SNI,síndrome nefrótico idiopático,3
"('CAA', 'colecistitis alitiásica aguda')",CAA,colecistitis alitiásica aguda,2
"('ILT', 'incapacidad laboral transitoria')",ILT,incapacidad laboral transitoria,1
"('ZSV', 'zona subventricular')",ZSV,zona subventricular,1
"('LF', 'lactoferrina')",LF,lactoferrina,2
"('RNHMD', 'recién nacido hijo de madre diabética')",RNHMD,recién nacido hijo de madre diabética,12
"('dm', 'dosismedia')",dm,dosismedia,1
"('PET/CT', 'positrones y tomografía computarizada')",PET/CT,positrones y tomografía computarizada,1
"('CMV', 'curso de microcirugía vascular')",CMV,curso de microcirugía vascular,2
"('CCR', 'cáncer colorrectal')",CCR,cáncer colorrectal,23
"('Plan AUGE', 'plan de acceso universal y garantías explícitas')",Plan AUGE,plan de acceso universal y garantías explícitas,4
"('VRS', 'virus respiratorio sincitial')",VRS,virus respiratorio sincitial,7
"('UNAM', 'universidad nacional autónoma de méxico')",UNAM,universidad nacional autónoma de méxico,9
"('PEPAF', 'programa experimental de promoción de la actividad fisica')",PEPAF,programa experimental de promoción de la actividad fisica,3
"('RNM', 'resultados negativos asociados a la medicación')",RNM,resultados negativos asociados a la medicación,5
"('RC', 'retardo del crecimiento')",RC,retardo del crecimiento,1
"('I.V.I.', 'inestabilidad vesical idiopática')",I.V.I.,inestabilidad vesical idiopática,1
"('FESNAD', 'federación española de sociedades de alimentación, nutrición y dietética')",FESNAD,"federación española de sociedades de alimentación, nutrición y dietética",4
