pair,acronym,description
"('ESCID', 'escala de conductas indicadoras de dolor')",ESCID,escala de conductas indicadoras de dolor
"('FCRS', 'framingham coronary risk score')",FCRS,framingham coronary risk score
"('DMID', 'diabetes mellitus insulino dependiente')",DMID,diabetes mellitus insulino dependiente
"('SUH', 'síndrome urémico hemolítico')",SUH,síndrome urémico hemolítico
"('RNM', 'resultados negativos asociados a la medicación')",RNM,resultados negativos asociados a la medicación
"('GTEB', 'grupo de trabajo de expertos en terapia biológica')",GTEB,grupo de trabajo de expertos en terapia biológica
"('CCU', 'centro coordinador de urgencias')",CCU,centro coordinador de urgencias
"('EPR', 'esofagitis por reflujo')",EPR,esofagitis por reflujo
"('CCHS', 'celiac health survey')",CCHS,celiac health survey
"('UTM', 'unidades de trastornos del movimiento')",UTM,unidades de trastornos del movimiento
"('SPPB', 'short physical performance battery')",SPPB,short physical performance battery
"('SEICAP', 'sociedad española de inmunología clínica, alergología y asma pediátrica')",SEICAP,"sociedad española de inmunología clínica, alergología y asma pediátrica"
"('GOLD', 'global initiative for chronic obstructive lung disease')",GOLD,global initiative for chronic obstructive lung disease
"('PNS', 'plan nacional sobre el sida')",PNS,plan nacional sobre el sida
"('RNTI', 'registro nacional de tumores infantiles')",RNTI,registro nacional de tumores infantiles
"('UME', 'unidades medicalizadas de emergencia')",UME,unidades medicalizadas de emergencia
"('5-FU', '5-fluor-uracilo')",5-FU,5-fluor-uracilo
"('H-RP', 'hipersomnia y respiración periódica')",H-RP,hipersomnia y respiración periódica
"('c-HDL', 'colesterol hdl')",c-HDL,colesterol hdl
"('CAPS', 'cardiff anomalous perceptions scale')",CAPS,cardiff anomalous perceptions scale
"('XC', 'x-collar')",XC,x-collar
"('GRD', 'grupos relacionados por el diagnostico')",GRD,grupos relacionados por el diagnostico
"('HPMF', 'hipotiroidismo materno-fetal')",HPMF,hipotiroidismo materno-fetal
"('CRIR', 'cirugía retrógrada intrarrenal')",CRIR,cirugía retrógrada intrarrenal
"('RM', 'razón de momios')",RM,razón de momios
"('T@M', 'test de alteración de memoria')",T@M,test de alteración de memoria
"('EO', 'estrés oxidativo')",EO,estrés oxidativo
"('SUN', 'seguimiento universidad de navarra')",SUN,seguimiento universidad de navarra
"('MS', 'miembro superior')",MS,miembro superior
"('V.P.H.', 'virus del papiloma humano')",V.P.H.,virus del papiloma humano
"('POP', 'prolapso de órganos pélvicos')",POP,prolapso de órganos pélvicos
"('DD', 'dímero d')",DD,dímero d
"('SC', 'superficie corporal')",SC,superficie corporal
"('CBCL/1.5-5', 'child behavior checklist 1.5-5')",CBCL/1.5-5,child behavior checklist 1.5-5
"('EAD', 'encefalomielitis aguda diseminada')",EAD,encefalomielitis aguda diseminada
"('AQD', 'acido quenodesoxicólico.')",AQD,acido quenodesoxicólico.
"('RDoC', 'research domain criteria')",RDoC,research domain criteria
"('CAM', 'cuestionario de actitudes ante la muerte')",CAM,cuestionario de actitudes ante la muerte
"('LNI', 'lesiones no intencionales')",LNI,lesiones no intencionales
"('CS', 'controles')",CS,controles
"('PPAC', 'paciente pediátrico con ascitis secundaria a cirrosis')",PPAC,paciente pediátrico con ascitis secundaria a cirrosis
"('NNT', 'número necesario a tratar')",NNT,número necesario a tratar
"('IP', 'indicadores de proceso')",IP,indicadores de proceso
"('TMI-MC', 'tasa de mortalidad infantil por mc')",TMI-MC,tasa de mortalidad infantil por mc
"('Cetacea', 'comportamiento del delfin manchado costero, stenella attenuata')",Cetacea,"comportamiento del delfin manchado costero, stenella attenuata"
"('WPW', 'wolff-parkinson-white manifiesto y oculto')",WPW,wolff-parkinson-white manifiesto y oculto
"('SNPs', 'sugieren que los polimorfismos de nucleótido único')",SNPs,sugieren que los polimorfismos de nucleótido único
"('SG', 'supervivencia global')",SG,supervivencia global
"('DDDs', 'diarias definidas')",DDDs,diarias definidas
"('LAP', 'laboratorios de anatomía patológica')",LAP,laboratorios de anatomía patológica
"('kcal', 'kilocalorías')",kcal,kilocalorías
"('CEAPE', 'centro de educação e alimentação do pré-escolar')",CEAPE,centro de educação e alimentação do pré-escolar
"('ENI', 'enfermedad neumocócica invasiva')",ENI,enfermedad neumocócica invasiva
"('URMES', 'urgencias reumatológicas y musculoesqueléticas')",URMES,urgencias reumatológicas y musculoesqueléticas
"('SF-LDQOL', 'short form-liver disease quality of life')",SF-LDQOL,short form-liver disease quality of life
"('ECA', 'ensayos controlados aleatorizados')",ECA,ensayos controlados aleatorizados
"('PMN', 'polimorfonucleares neutrófilos')",PMN,polimorfonucleares neutrófilos
"('EEE', 'equina del este')",EEE,equina del este
"('CTOG', 'curva de tolerancia a la glucosa')",CTOG,curva de tolerancia a la glucosa
"('TAR', 'trombocitopenia con aplasia de radio')",TAR,trombocitopenia con aplasia de radio
"('WOK', 'web of knowledge')",WOK,web of knowledge
"('DM', 'detorsión testicular manual')",DM,detorsión testicular manual
"('EFG', 'especialidades farmacéuticas genéricas')",EFG,especialidades farmacéuticas genéricas
"('BNS', 'beneficio neto sanitario')",BNS,beneficio neto sanitario
"('GER', 'grupo de estudio de rotavirus')",GER,grupo de estudio de rotavirus
"('PTH', 'parathormona')",PTH,parathormona
"('ATC', 'aganglionosis total del colon')",ATC,aganglionosis total del colon
"('VAU', 'vainas de acceso ureteral')",VAU,vainas de acceso ureteral
"('LAH', 'ligadura de arterias hipogástricas')",LAH,ligadura de arterias hipogástricas
"('CA', 'carga alostática')",CA,carga alostática
"('CONIN', 'corporación para la nutrición infantil')",CONIN,corporación para la nutrición infantil
"('NTB-A', 'neurotoxina botulínica tipo a')",NTB-A,neurotoxina botulínica tipo a
"('GEHBTA', 'grupo de estudio de hemoglobinopatías y talasemias')",GEHBTA,grupo de estudio de hemoglobinopatías y talasemias
"('PCR', 'parotiditis crónica recidivante en niños')",PCR,parotiditis crónica recidivante en niños
"('I.C.S.S.', 'instituto colombiano de seguros sociales')",I.C.S.S.,instituto colombiano de seguros sociales
"('RVI', 'radiología vascular intervencionista')",RVI,radiología vascular intervencionista
"('GC', 'ganglio centinela')",GC,ganglio centinela
"('MOS-HIV', 'medical outcomes study hiv health survey')",MOS-HIV,medical outcomes study hiv health survey
"('IRA', 'infecciones respiratorias agudas')",IRA,infecciones respiratorias agudas
"('CEFEN', 'comité de estudios fetoneonatales')",CEFEN,comité de estudios fetoneonatales
"('ADVISE', 'adenovirus initiative study in epidemiology')",ADVISE,adenovirus initiative study in epidemiology
"('OR', 'odds ratios')",OR,odds ratios
"('SCOPA-Cog', ""scales for outcomes in parkinson's disease-cognition"")",SCOPA-Cog,scales for outcomes in parkinson's disease-cognition
"('CCR', 'cáncer aolorrectal invasivo')",CCR,cáncer aolorrectal invasivo
"('VP+', 'valor predictivo positivo')",VP+,valor predictivo positivo
"('EPRCD', 'escala de perfil de riesgo de consumo de drogas')",EPRCD,escala de perfil de riesgo de consumo de drogas
"('LEP', 'leptina')",LEP,leptina
"('PCNA', 'proliferación celular')",PCNA,proliferación celular
"('I parte', 'intraoperatoria no terapéutica: causas, complicaciones, prevención y tratamiento')",I parte,"intraoperatoria no terapéutica: causas, complicaciones, prevención y tratamiento"
"('DPE', 'desgaste proteico energético')",DPE,desgaste proteico energético
"('V.C.O.', 'vagotomía de células oxíntica')",V.C.O.,vagotomía de células oxíntica
"('REGITELL', 'registro de pacientes con ataque isquémico transitorio de lleida')",REGITELL,registro de pacientes con ataque isquémico transitorio de lleida
"('MIR', 'médico interno residente')",MIR,médico interno residente
"('CI', 'calorimetría indirecta')",CI,calorimetría indirecta
"('ROLL', 'radioguiada de lesiones ocultas de mama')",ROLL,radioguiada de lesiones ocultas de mama
"('NMDA', 'n-metil-d-aspartato')",NMDA,n-metil-d-aspartato
"('PET-FDG', 'positrones mediante 18-fluoro-2-desoxi-d-glucosa')",PET-FDG,positrones mediante 18-fluoro-2-desoxi-d-glucosa
"('CAM', 'comunidad autónoma de madrid')",CAM,comunidad autónoma de madrid
"('VIH-1', 'virus de la inmunodeficiencia humana tipo 1')",VIH-1,virus de la inmunodeficiencia humana tipo 1
"('SH', 'sindrome de «hubris»')",SH,sindrome de «hubris»
"('PRES', 'posterior reversible')",PRES,posterior reversible
"('TA', 'test de aliento')",TA,test de aliento
"('AgsHB', 'antígeno de superficie del virus de la hepatitis tipo b')",AgsHB,antígeno de superficie del virus de la hepatitis tipo b
"('EIM', 'errores innatos del metabolismo')",EIM,errores innatos del metabolismo
"('NORMACODEM', 'normalización de instrumentos cognitivos y funcionales para la evaluación de la demencia')",NORMACODEM,normalización de instrumentos cognitivos y funcionales para la evaluación de la demencia
"('HIV', 'hemorragia intraventricular')",HIV,hemorragia intraventricular
"('SEP', 'sistema de enseñanza personalizada')",SEP,sistema de enseñanza personalizada
"('ACSC', 'ambulatory care sensitive conditions')",ACSC,ambulatory care sensitive conditions
"('AIT', 'accidente isquémico transitorio')",AIT,accidente isquémico transitorio
"('ASRS', 'adhd self-report scale</i>')",ASRS,adhd self-report scale</i>
"('ERC', 'escala de reserva cognitiva')",ERC,escala de reserva cognitiva
"('EE', 'estándar del estimador')",EE,estándar del estimador
"('CIN III', 'casos de neoplasia intraepitelial grado iii')",CIN III,casos de neoplasia intraepitelial grado iii
"('Neumosur', 'neumólogos del sur')",Neumosur,neumólogos del sur
"('EUA', 'estados unidos de américa')",EUA,estados unidos de américa
"('MMORPG', 'massively multiplayer online role playing games')",MMORPG,massively multiplayer online role playing games
"('OC', 'operación cesárea')",OC,operación cesárea
"('S. aureus', 'staphylococcus aureus')",S. aureus,staphylococcus aureus
"('EA', 'eventos adversos')",EA,eventos adversos
"('EC', 'enfermero de consulta')",EC,enfermero de consulta
"('RIA', 'radioinmunoensayo')",RIA,radioinmunoensayo
"('ReMeFA', 'registro mexicano de fibrilación auricular')",ReMeFA,registro mexicano de fibrilación auricular
"('GNRP', 'glomerulonefritis rápidamente progresivas')",GNRP,glomerulonefritis rápidamente progresivas
"('IED', 'inventario de experiencias en duelo')",IED,inventario de experiencias en duelo
"('DFT', 'demencia frontotemporal')",DFT,demencia frontotemporal
"('HT', 'hormonas tiroideas')",HT,hormonas tiroideas
"('UISI', 'unión internacional de sociedades de inmunología')",UISI,unión internacional de sociedades de inmunología
"('TRA', 'tratamiento restaurador atraumático')",TRA,tratamiento restaurador atraumático
"('EQUIHP', 'european quality instrument for health promotion')",EQUIHP,european quality instrument for health promotion
"('NCI', 'national cancer institute')",NCI,national cancer institute
"('NSA-16', 'negativos-16')",NSA-16,negativos-16
"('PG-SGA', 'patient generated subjective global assessment')",PG-SGA,patient generated subjective global assessment
"('PEECU', 'programa de evaluación externa de calidad en uroanálisis')",PEECU,programa de evaluación externa de calidad en uroanálisis
"('OR', 'ohd en madres')",OR,ohd en madres
"('IAL', 'intoxicación aguda por litio')",IAL,intoxicación aguda por litio
"('PN', 'peso al nacimiento')",PN,peso al nacimiento
"('EHI', 'encefalopatía hipóxico-isquémica')",EHI,encefalopatía hipóxico-isquémica
"('RR', 'riesgo relativo')",RR,riesgo relativo
"('IgM', 'inmunoglobulina m')",IgM,inmunoglobulina m
"('ISAK', 'international society for the advancement of kineanthropometry')",ISAK,international society for the advancement of kineanthropometry
"('DID', 'diabéticos insulinodependientes')",DID,diabéticos insulinodependientes
"('DNU', 'dispepsia no ulcerosa')",DNU,dispepsia no ulcerosa
"('VHC', 'virus de la hepatitis c')",VHC,virus de la hepatitis c
"('ECN', 'enterocolitis necrosante')",ECN,enterocolitis necrosante
"('TB-DI', 'test barcelona para discapacidad intelectual')",TB-DI,test barcelona para discapacidad intelectual
"('CIRC', 'con insuficiencia renal crónica')",CIRC,con insuficiencia renal crónica
"('SChS', 'síndrome de churg-strauss')",SChS,síndrome de churg-strauss
"('BIC', 'bayesian information criterion')",BIC,bayesian information criterion
"('TC', 'tomografía computarizada')",TC,tomografía computarizada
"('PPT', 'partos pretérmino')",PPT,partos pretérmino
"('SNRE', 'sni resistente a esteroides')",SNRE,sni resistente a esteroides
"('UFPE', 'unidad de atención farmacéutica a pacientes externos')",UFPE,unidad de atención farmacéutica a pacientes externos
"('MOAR', 'microscopia optica de alta resolucion')",MOAR,microscopia optica de alta resolucion
"('NLP', 'nefrolitotomía percutánea')",NLP,nefrolitotomía percutánea
"('SC', 'sulfuro coloidal')",SC,sulfuro coloidal
"('MRV', 'monitoreo rápido de vacunación')",MRV,monitoreo rápido de vacunación
"('GCNE', 'grupo control no equivalente')",GCNE,grupo control no equivalente
"('HPP', 'hiperparatiroidismo')",HPP,hiperparatiroidismo
"('PEATC', 'potenciales evocados auditivos del tallo cerebral')",PEATC,potenciales evocados auditivos del tallo cerebral
"('FIS', 'fondo de investigación sanitaria')",FIS,fondo de investigación sanitaria
"('BCCU', 'banco de células de\xa0cordón umbilical')",BCCU,banco de células de cordón umbilical
"('TD', 'test de denver')",TD,test de denver
"('AGA', 'alteración de glucosa en ayunas')",AGA,alteración de glucosa en ayunas
"('GLADP', 'guía latinoamericana de diagnóstico psiquiátrico')",GLADP,guía latinoamericana de diagnóstico psiquiátrico
"('NN', 'neumonía nosocomial')",NN,neumonía nosocomial
"('UDVP', 'uso de drogas por vía parenteral')",UDVP,uso de drogas por vía parenteral
"('CEIPC', 'comité español interdisciplinario para la prevención cardiovascular')",CEIPC,comité español interdisciplinario para la prevención cardiovascular
"('NPT', 'nutrición parenteral total')",NPT,nutrición parenteral total
"('TD', 'tasa de descuento')",TD,tasa de descuento
"('UO', 'urgencias obstétricas')",UO,urgencias obstétricas
"('DIU', 'dispositivo intrauterino')",DIU,dispositivo intrauterino
"('PAIME', 'programa de atención integral al médico enfermo')",PAIME,programa de atención integral al médico enfermo
"('ICC', 'indicador clínico de calidad')",ICC,indicador clínico de calidad
"('PG', 'porcentaje de grasa corporal')",PG,porcentaje de grasa corporal
"('SEGHNP', 'sociedad española de gastroenterología, hepatología y nutrición pediátrica')",SEGHNP,"sociedad española de gastroenterología, hepatología y nutrición pediátrica"
"('FETO', 'fetoscópica')",FETO,fetoscópica
"('RITA', 'radiofrecuencia intersticial')",RITA,radiofrecuencia intersticial
"('IAM', 'infarto agudo de miocardio')",IAM,infarto agudo de miocardio
"('OC', 'otras carreras')",OC,otras carreras
"('ACV', 'accidentes cerebrovasculares')",ACV,accidentes cerebrovasculares
"('DPCA', 'diálisis peritoneal continua ambulatoria')",DPCA,diálisis peritoneal continua ambulatoria
"('MG', 'masa grasa')",MG,masa grasa
"('PgE2', 'prostaglandina e2')",PgE2,prostaglandina e2
"('TGA', 'típica completa de las grandes arterias')",TGA,típica completa de las grandes arterias
"('NPp', 'nutrición parenteral precoz')",NPp,nutrición parenteral precoz
"('RCP', 'reanimación cardiopulmonar')",RCP,reanimación cardiopulmonar
"('IP', 'inhibidores de la proteasa')",IP,inhibidores de la proteasa
"('ADH', 'anemia por déficit de hierro')",ADH,anemia por déficit de hierro
"('MPD', 'marcapasos definitivos')",MPD,marcapasos definitivos
"('POCS', 'punta-onda continua durante el sueño')",POCS,punta-onda continua durante el sueño
"('SNEM', 'servicio nacional de erradicación de la malaria')",SNEM,servicio nacional de erradicación de la malaria
"('SIDA', 'síndrome de inmunodeficiencia humana adquirida')",SIDA,síndrome de inmunodeficiencia humana adquirida
